# AUTO-GENERATED by `make taskindex`. DO NOT EDIT. 生成元=tasks/*/result.yaml と spec.yaml
task_id,kind,status,host,pr,merged,gates_pass,gates_ask,gates_stop,tests_before_failed,tests_after_failed,deviations,n_issuer_defects,n_followups,n_unknowns,depends_on
T-2026-08-11-artifact-merge-and-pause,impl,pass,lecun,81,false,3,0,0,5,5,7,3,4,3,T-2026-08-11-codex-parity
T-2026-08-11-codex-parity,impl,pass,efros,80,false,3,0,0,5,5,5,4,2,1,T-2026-08-18-report-back-to-ledger
T-2026-08-11-grasp-inference-injection-impl,impl,pass,lecun,105,false,3,0,0,5,5,4,2,2,2,T-2026-08-11-hts-comparability-audit
T-2026-08-11-grasp-linear-probe,analysis,pass,bengio,107,true,2,0,0,0,0,6,2,3,3,T-2026-08-11-hts-comparability-audit
T-2026-08-11-hts-comparability-audit,analysis,pass,lecun,79,false,2,0,0,5,5,4,3,7,4,T-2026-08-11-split-and-recipe-audit
T-2026-08-11-issuer-defect-detector,impl,pass,lecun,82,false,3,0,0,5,5,8,4,6,4,T-2026-08-11-artifact-merge-and-pause
T-2026-08-11-make-task-start,impl,pass,lecun,77,false,2,0,0,5,5,7,3,5,4,
T-2026-08-11-phase-baseline-power,exp,partial,andrew,110,false,2,0,0,0,0,5,2,6,1,T-2026-08-11-hts-comparability-audit T-2026-08-15-denominator-ref-resolution-fix
T-2026-08-11-s0-reevaluation-feasibility,analysis,pass,lecun,78,false,2,0,0,5,5,7,4,6,5,T-2026-08-11-split-and-recipe-audit
T-2026-08-11-sandbox-and-host-inventory,analysis,pass,lecun,91,false,3,0,0,5,5,12,5,8,7,T-2026-08-11-issuer-defect-detector
T-2026-08-11-split-and-recipe-audit,analysis,pass,lecun,76,false,3,0,0,5,5,6,4,6,5,
T-2026-08-12-hub-from-marker,impl,pass,lecun,94,false,2,0,0,5,5,2,1,2,1,T-2026-08-12-ilya-hub-feasibility
T-2026-08-12-ilya-hub-feasibility,analysis,pass,aolab,93,false,2,0,0,0,0,3,1,3,3,
T-2026-08-12-register-hub-keys,impl,pass,lecun,98,false,2,0,0,0,0,3,2,3,2,T-2026-08-12-submit-hub-key-andrew
T-2026-08-12-submit-hub-key-andrew,impl,pass,andrew,97,false,2,0,0,0,0,4,3,3,0,T-2026-08-12-hub-from-marker
T-2026-08-12-submit-hub-key-ilya,impl,pass,aolab,96,false,2,0,0,0,0,3,2,2,2,T-2026-08-12-hub-from-marker
T-2026-08-12-sync-audit-andrew,analysis,pass,Andrew,,false,3,0,0,0,0,6,4,7,5,
T-2026-08-12-sync-audit-bengio,analysis,pass,bengio,,false,3,0,0,7,7,5,4,6,7,
T-2026-08-12-sync-audit-efros,analysis,pass,efros,,false,3,0,0,7,7,7,3,8,5,
T-2026-08-12-sync-audit-lecun,analysis,pass,lecun,,false,3,0,0,5,5,9,4,5,4,
T-2026-08-12-tooling-defect-fixes,impl,pass,efros,92,false,3,0,0,7,5,2,2,1,0,T-2026-08-12-tunnel-key-audit-efros
T-2026-08-12-tunnel-key-audit-andrew,analysis,pass,Andrew,,false,2,0,0,0,0,4,2,6,5,T-2026-08-12-sync-audit-andrew
T-2026-08-12-tunnel-key-audit-bengio,analysis,pass,bengio,,false,2,0,0,7,7,6,3,6,7,T-2026-08-12-sync-audit-bengio
T-2026-08-12-tunnel-key-audit-lecun,analysis,pass,lecun,,false,2,0,0,5,5,8,5,6,5,T-2026-08-12-sync-audit-lecun
T-2026-08-13-andrew-lecun-sync-cutover,impl,pass,Andrew,106,false,5,0,0,0,0,3,1,0,2,T-2026-08-12-register-hub-keys T-2026-08-13-hub-deploy-lecun-marker-cutover
T-2026-08-13-bengio-canary-lecun-cutover,impl,stopped,bengio,102,false,0,0,1,0,0,2,0,2,4,T-2026-08-13-hub-role-and-restart T-2026-08-13-hub-deploy-lecun-marker-cutover
T-2026-08-13-bengio-lecun-deadman-cutover,impl,stopped,Bengio,103,false,0,0,1,0,0,2,2,2,3,T-2026-08-13-bengio-canary-lecun-cutover
T-2026-08-13-bengio-lecun-zmx-deadman-cutover,impl,stopped,Bengio,104,false,0,0,1,0,0,2,0,2,3,T-2026-08-13-bengio-lecun-deadman-cutover
T-2026-08-13-hub-deploy-lecun,impl,stopped,lecun,100,false,0,0,1,0,0,2,2,2,2,T-2026-08-13-hub-role-and-restart
T-2026-08-13-hub-deploy-lecun-marker-cutover,impl,pass,lecun,101,false,5,0,0,0,0,4,1,2,0,T-2026-08-13-hub-role-and-restart T-2026-08-13-hub-deploy-lecun
T-2026-08-13-hub-role-and-restart,analysis,pass,lecun,99,false,2,0,0,0,0,4,2,3,3,T-2026-08-12-register-hub-keys
T-2026-08-13-implementation-history-index,impl,pass,lecun,,false,3,0,0,5,5,3,3,5,1,T-2026-08-12-contract-distribution-via-notion
T-2026-08-14-bundle-attachment-transport,impl,pass,bengio,70,false,2,0,0,5,5,6,5,4,3,T-2026-08-13-implementation-history-index
T-2026-08-15-config-key-effectiveness-audit,analysis,pass,lecun,116,false,2,0,0,5,5,6,4,8,4,T-2026-08-15-injection-signal-variants
T-2026-08-15-denominator-ref-resolution-fix,impl,pass,andrew,109,false,2,0,0,5,5,6,1,4,2,
T-2026-08-15-grasp-head-degeneracy-audit,analysis,pass,andrew,112,false,2,0,0,5,5,3,0,5,2,T-2026-08-15-grasp-injection-effect T-2026-08-11-grasp-linear-probe
T-2026-08-15-grasp-injection-effect,exp,pass,Andrew,111,false,3,0,0,5,5,6,3,5,2,T-2026-08-11-grasp-inference-injection-impl T-2026-08-11-phase-baseline-power T-2026-08-11-grasp-linear-probe
T-2026-08-15-injection-form-sweep,exp,pass,andrew,114,false,3,0,0,5,5,4,1,5,3,T-2026-08-15-injection-signal-variants T-2026-08-15-grasp-injection-effect T-2026-08-11-phase-baseline-power
T-2026-08-15-injection-signal-variants,impl,pass,andrew,113,false,3,0,0,5,5,4,1,4,2,T-2026-08-15-grasp-injection-effect T-2026-08-15-grasp-head-degeneracy-audit
T-2026-08-15-injection-sweep-deterministic,exp,pass,lecun,117,false,3,0,0,5,5,7,4,8,4,T-2026-08-15-training-determinism T-2026-08-15-injection-form-sweep T-2026-08-15-config-key-effectiveness-audit
T-2026-08-15-template-leak-and-autosync-conflict,impl,pass,lecun,71,false,2,0,0,5,5,3,4,4,3,T-2026-08-14-bundle-attachment-transport
T-2026-08-15-training-determinism,impl,pass,andrew,115,false,3,0,0,5,5,3,1,6,0,T-2026-08-15-injection-form-sweep
T-2026-08-16-docs-reconciliation,impl,pass,lecun,73,false,2,0,0,5,5,4,3,6,4,T-2026-08-15-template-leak-and-autosync-conflict
T-2026-08-17-report-projection-and-friction,impl,pass,lecun,74,false,4,0,0,5,5,3,2,5,3,T-2026-08-16-docs-reconciliation
T-2026-08-18-report-back-to-ledger,impl,pass,lecun,75,false,2,0,0,5,5,2,1,3,2,T-2026-08-17-report-projection-and-friction
T-2026-08-22-andrew-node-foundation,impl,pass,andrew,125,false,2,0,0,0,7,8,4,6,3,T-2026-08-22-philip-hub-foundation
T-2026-08-22-bengio-node-foundation,impl,pass,bengio,123,false,2,0,0,0,0,4,2,4,1,T-2026-08-22-philip-hub-foundation
T-2026-08-22-ilya-node-foundation,impl,pass,ilya,124,false,2,0,0,5,5,6,3,6,2,T-2026-08-22-philip-hub-foundation
T-2026-08-22-lecun-node-foundation,impl,pass,lecun,122,false,2,0,0,5,5,6,3,4,3,T-2026-08-22-philip-hub-foundation
T-2026-08-22-philip-hub-foundation,impl,,,,false,0,0,0,,,,0,0,0,
T-2026-08-24-andrew-keeper-autosync,impl,pass,andrew,128,false,2,0,0,7,7,7,4,6,6,T-2026-08-22-andrew-node-foundation
T-2026-08-24-andrew-syncthing-node,impl,pass,Andrew,144,false,3,0,0,0,0,5,4,4,3,T-2026-08-24-bengio-syncthing-node
T-2026-08-24-bengio-keeper-autosync,impl,pass,bengio,127,false,2,0,0,0,0,6,3,10,4,T-2026-08-22-bengio-node-foundation
T-2026-08-24-bengio-syncthing-node,impl,pass,bengio,143,false,3,0,0,0,0,8,6,11,4,T-2026-08-24-philip-syncthing-hub
T-2026-08-24-ilya-keeper-autosync,impl,pass,ilya,129,false,2,0,0,0,0,7,3,6,2,T-2026-08-22-ilya-node-foundation
T-2026-08-24-ilya-syncthing-node,impl,pass,ilya,145,false,3,0,0,0,0,6,4,6,3,T-2026-08-24-andrew-syncthing-node
T-2026-08-24-lecun-keeper-autosync,impl,pass,lecun,130,false,2,0,0,5,5,6,2,6,3,T-2026-08-22-lecun-node-foundation
T-2026-08-24-lecun-syncthing-node,impl,pass,lecun,146,false,3,0,0,0,0,5,5,9,4,T-2026-08-24-ilya-syncthing-node
T-2026-08-24-philip-accept-node-keys,impl,partial,philip,142,false,1,1,0,0,0,6,4,5,6,T-2026-08-24-bengio-syncthing-node
T-2026-08-24-philip-keeper-autosync,impl,partial,philip,126,false,2,0,0,0,0,12,4,12,3,T-2026-08-22-philip-hub-foundation
T-2026-08-24-philip-syncthing-hub,impl,partial,philip,140,false,3,0,0,0,0,8,6,5,5,T-2026-08-24-syncthing-config-survey
T-2026-08-24-syncthing-config-survey,analysis,pass,philip,139,false,2,0,0,0,0,8,4,11,5,T-2026-08-24-philip-keeper-autosync
T-2026-08-25-adam-artifact-inventory,analysis,pass,adam,149,false,2,0,0,0,0,6,3,6,6,
T-2026-08-25-issuer-refs-to-repo,impl,pass,philip,151,false,2,0,0,0,0,6,6,4,3,
T-2026-08-25-sync-ignore-scope,impl,partial,lecun,147,false,2,1,0,0,0,5,3,7,3,T-2026-08-24-lecun-syncthing-node
T-2026-08-26-denoise-falsification,exp,stopped,Andrew,155,false,1,0,1,0,0,4,4,5,6,
T-2026-08-26-det2phase-segmentation-lovo,exp,partial,lecun,158,false,3,1,0,5,5,6,4,7,6,T-2026-08-26-oracle-ceiling-lovo T-2026-08-26-lovo-decision-rule
T-2026-08-26-error-shape-selectivity,analysis,pass,philip,153,false,4,0,0,0,0,6,6,5,3,
T-2026-08-26-lovo-decision-rule,analysis,pass,ilya,157,false,4,0,0,5,5,5,4,6,4,
T-2026-08-26-nondeterminism-audit-impact,analysis,pass,bengio,154,false,4,0,0,0,0,7,2,5,4,
T-2026-08-26-official-split-reassessment,analysis,pass,philip,159,false,4,0,0,0,0,6,6,5,4,T-2026-08-26-lovo-decision-rule T-2026-08-26-nondeterminism-audit-impact
T-2026-08-26-oracle-ceiling-and-tool-drop,exp,partial,lecun,152,false,3,0,0,5,5,9,4,6,6,
T-2026-08-26-oracle-ceiling-lovo,exp,pass,lecun,156,false,3,0,0,5,5,7,3,8,5,T-2026-08-26-oracle-ceiling-and-tool-drop
T-2026-08-28-policy-v2-doc-sync,impl,pass,philip,160,false,1,0,0,0,0,5,6,4,0,
T-2026-08-29-k1-reeval-and-harvest,impl,pass,lecun,165,false,1,0,0,0,0,5,5,5,4,T-2026-08-29-k1-verify-policy-place
T-2026-08-29-k1-trace-policy-place,impl,partial,philip,163,false,1,0,0,0,0,3,2,4,2,T-2026-08-29-stage0-contract-a
T-2026-08-29-k1-verify-policy-place,impl,partial,lecun,164,false,1,0,0,0,0,5,4,4,4,T-2026-08-29-k1-trace-policy-place
T-2026-08-29-lecun-detector-env-pd,exp,pass,lecun,169,false,2,0,0,0,0,10,4,5,4,T-2026-08-29-stage0-contract-b
T-2026-08-29-projection-refresh,impl,pass,philip,161,false,1,0,0,3,0,3,2,3,0,T-2026-08-28-policy-v2-doc-sync
T-2026-08-29-stage0-contract-a,analysis,pass,philip,162,false,1,0,0,0,0,3,2,5,2,T-2026-08-29-projection-refresh
T-2026-08-29-stage0-contract-b,exp,partial,lecun,166,false,2,0,0,0,0,6,5,7,4,T-2026-08-29-k1-reeval-and-harvest
T-2026-08-30-hts-candidate-acceptance,analysis,pass,andrew,167,false,1,0,0,0,0,6,2,9,2,
T-2026-08-30-tooling-fixes-five,impl,pass,andrew,168,false,2,0,0,6,6,5,0,9,2,T-2026-08-29-stage0-contract-b T-2026-08-29-k1-reeval-and-harvest
T-2026-08-31-notion-legacy-toc-and-export,analysis,partial,lecun,170,false,0,0,0,0,0,4,2,5,3,
T-2026-08-31-notion-repo-followup-and-retire,impl,pass,lecun,171,false,0,0,0,6,6,3,1,4,2,T-2026-08-31-notion-legacy-toc-and-export
T-2026-09-01-notion-retire-scripts-and-speccheck,impl,pass,lecun,172,false,0,0,0,6,6,3,0,3,3,T-2026-08-31-notion-repo-followup-and-retire
