experiment_id,path,seed,excluded,exclusion_reason
baselines/s0/codetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_007_codetr_bbox_seed42,42,False,
baselines/s0/codetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_008_codetr_bbox_seed123,123,False,
baselines/s0/codetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_009_codetr_bbox_seed456,456,False,
baselines/s0/relationdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_016_relationdetr_bbox_seed42,42,False,
baselines/s0/relationdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_017_relationdetr_bbox_seed123,123,False,
baselines/s0/relationdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_018_relationdetr_bbox_seed456,456,False,
baselines/s0/stabledino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_019_stabledino_bbox_seed42,42,False,
baselines/s0/stabledino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_020_stabledino_bbox_seed123,123,False,
baselines/s0/stabledino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_021_stabledino_bbox_seed456,456,False,
baselines/s0/dimaskdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_022_dimaskdino_bbox_seed42,42,False,
baselines/s0/dimaskdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_023_dimaskdino_bbox_seed123,123,False,
baselines/s0/dimaskdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_024_dimaskdino_bbox_seed456,456,False,
baselines/s0/focusdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_025_focusdetr_bbox_seed42,42,False,
baselines/s0/focusdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_026_focusdetr_bbox_seed123,123,False,
baselines/s0/focusdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_027_focusdetr_bbox_seed456,456,False,
baselines/s0/aligndetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_028_aligndetr_bbox_seed42,42,False,
baselines/s0/aligndetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_029_aligndetr_bbox_seed123,123,False,
baselines/s0/aligndetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_030_aligndetr_bbox_seed456,456,False,
baselines/s0/mrdetrdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_031_mrdetrdino_bbox_seed42,42,False,
baselines/s0/mrdetrdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_032_mrdetrdino_bbox_seed123,123,False,
baselines/s0/mrdetrdino_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_033_mrdetrdino_bbox_seed456,456,False,
baselines/s0/mrdetralign_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_034_mrdetralign_bbox_seed42,42,False,
baselines/s0/mrdetralign_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_035_mrdetralign_bbox_seed123,123,False,
baselines/s0/mrdetralign_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_036_mrdetralign_bbox_seed456,456,False,
baselines/s0/dacdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_037_dacdetr_bbox_seed42,42,False,
baselines/s0/dacdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_038_dacdetr_bbox_seed123,123,False,
baselines/s0/dacdetr_bbox@val,experiments/baselines/_legacy_score_thr_0/s0_039_dacdetr_bbox_seed456,456,False,
baselines/s0_frozen/relationdetr_s0frozen_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_001_relationdetr_s0frozen_cocohead_seed42,42,False,
baselines/s0_frozen/relationdetr_s0frozen_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_002_relationdetr_s0frozen_cocohead_seed123,123,False,
baselines/s0_frozen/relationdetr_s0frozen_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_003_relationdetr_s0frozen_cocohead_seed456,456,False,
baselines/s0_frozen/relationdetr_s0frozen_neck_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_004_relationdetr_s0frozen_neck_cocohead_seed42,42,False,
baselines/s0_frozen/relationdetr_s0frozen_neck_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_005_relationdetr_s0frozen_neck_cocohead_seed123,123,False,
baselines/s0_frozen/relationdetr_s0frozen_neck_cocohead@val,experiments/baselines/_legacy_score_thr_0/s0_frozen_006_relationdetr_s0frozen_neck_cocohead_seed456,456,False,
baselines/s0/ddq_smoke@val,experiments/baselines/_smoke_ddq/s0_010_ddq_smoke_seed42,42,True,smoke_test
baselines/s0/maskdino_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_001_maskdino_bbox_seed42,42,True,known_bad_split
baselines/s0/maskdino_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_002_maskdino_bbox_seed123,123,True,known_bad_split
baselines/s0/maskdino_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_003_maskdino_bbox_seed456,456,True,known_bad_split
baselines/s0/varifocanet_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_004_varifocanet_bbox_seed42,42,True,known_bad_split
baselines/s0/varifocanet_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_005_varifocanet_bbox_seed123,123,True,known_bad_split
baselines/s0/varifocanet_bbox@val#None,experiments/baselines/_wrong_split_8_2_3/s0_006_varifocanet_bbox_seed456,456,True,known_bad_split
baselines/s0/maskdino_bbox@val#a63aecae,experiments/baselines/s0_001_maskdino_bbox_seed42,42,False,
baselines/s0/maskdino_bbox@val#a63aecae,experiments/baselines/s0_002_maskdino_bbox_seed123,123,False,
baselines/s0/maskdino_bbox@val#a63aecae,experiments/baselines/s0_003_maskdino_bbox_seed456,456,False,
baselines/s0/varifocanet_bbox@val#a63aecae,experiments/baselines/s0_004_varifocanet_bbox_seed42,42,False,
baselines/s0/varifocanet_bbox@val#a63aecae,experiments/baselines/s0_005_varifocanet_bbox_seed123,123,False,
baselines/s0/varifocanet_bbox@val#a63aecae,experiments/baselines/s0_006_varifocanet_bbox_seed456,456,False,
baselines/s0/ddq_bbox@val,experiments/baselines/s0_010_ddq_bbox_seed42,42,False,
baselines/s0/ddq_bbox@val,experiments/baselines/s0_011_ddq_bbox_seed123,123,False,
baselines/s0/ddq_bbox@val,experiments/baselines/s0_012_ddq_bbox_seed456,456,False,
baselines/s0/sensex_codino_bbox@val,experiments/baselines/s0_013_sensex_codino_bbox_seed42,42,False,
baselines/s0/maskdino_bbox_nmsfree@val,experiments/baselines/s0_014_maskdino_bbox_nmsfree_seed42,42,False,
baselines/s0/maskdino_bbox_nmsfree@val,experiments/baselines/s0_015_maskdino_bbox_nmsfree_seed123,123,False,
baselines/s0/maskdino_bbox_nmsfree@val,experiments/baselines/s0_016_maskdino_bbox_nmsfree_seed456,456,False,
baselines/s0/wiring_verification@val,experiments/baselines/s0_040_wiring_verification_seed42,42,False,
baselines/s0/wiring_verification@val,experiments/baselines/s0_041_wiring_verification_seed42,42,False,
